Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],Forest area (% of land area) [AG.LND.FRST.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Individuals using the Internet (% of population) [IT.NET.USER.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Arable land (% of land area) [AG.LND.ARBL.ZS],Population growth (annual %) [SP.POP.GROW],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]"
2022,YR2022,Afghanistan,AFG,357.261152798144,40578842,65.617,85.3,1.85278199408184,56.2655,-6.24017199240269,52,..,23.0881691,17.1917,54.5054272070161,18.3800424016375,11.9743035432286,1.43570437048699,16.0503677223963,2.20731611347931
2022,YR2022,Albania,ALB,6846.42669381643,2777689,78.769,100,28.7919708029197,98.395,4.82669611912765,8.3,7.57934158372429,6.19368076,82.6137,47.5009752834284,37.1970818190154,21.8284671532847,-1.21579032012532,23.025055723682,9.17717165039736
2022,YR2022,Algeria,DZA,4961.55257664733,45477389,76.129,100,0.826286664371426,107.787,3.60000000094915,20,0.107160824113693,3.6230433,74.8319,20.3933971934105,30.8089785470304,3.16197401899452,1.58758210690673,43.0480574822468,0.7555043343686
2022,YR2022,American Samoa,ASM,18017.4589383973,48342,72.752,..,85.35,..,1.73501577287065,..,..,..,..,77.7267508610792,46.9575200918485,4.85,-1.81008765020754,..,..
2022,YR2022,Andorra,AND,42414.0590092117,79705,84.016,100,34.0425531914894,142.426,9.56461225648184,2.6,17.5702304956522,7.53678846,94.4855,..,..,1.59063829787234,1.69676808598242,11.1453411041301,1.31863016205126
2022,YR2022,Angola,AGO,2929.69445467272,35635029,64.246,48.5,52.5364972326943,66.6008,3.04472652391918,39.6,-6.32056384328187,2.92737579,42.0719,25.2994284078973,44.391642097512,4.31940322451271,3.14302612044601,45.180052903576,0.0134152542495911
2022,YR2022,Antigua and Barbuda,ATG,20105.1989085164,92840,77.483,100,18.1615909090909,200.541,9.10780623385958,7.5,16.7832252918311,5.7299943,77.1648,62.9797628047534,54.7237649635992,9.09090909090909,0.530270318994476,19.6581959747844,1.86496707164868
2022,YR2022,Argentina,ARG,13935.6811110049,45407904,75.806,100,10.3610566048767,131.484,5.26987967384072,8.3,2.40302244246396,9.86305332,88.3754,15.2996935612041,16.248014443903,15.7485867964585,0.210808731072658,24.0075527787773,0.166952666555471
2022,YR2022,Armenia,ARM,6571.97445545099,2969200,74.7658536585366,100,11.6336717932132,130.54,12.5999999997766,9.3,4.99991586140552,9.96212864,77.0277,51.1857978005492,50.2249804603907,15.7005807438174,0.2326562627468,25.4370966437794,10.8688335174113
2022,YR2022,Aruba,ABW,30559.5335346581,107310,76.226,99.9,2.33333333333333,130.648,8.51791810517545,..,7.56707186414171,..,..,85.3138913136662,87.5702803628607,11.1111111111111,-0.362774222330685,..,1.1672913479472
2022,YR2022,Australia,AUS,64997.0136536475,26014399,83.2,100,17.4213145571644,109.469,4.24238555336139,3.2,4.16149504206489,9.92687893,97.0424,20.2901822017406,25.5315880289865,4.0646020161154,1.27269881377618,27.48251427159,0.0772998245693154
2022,YR2022,Austria,AUT,52176.6649141178,9041851,81.2951219512195,100,47.206131846825,121.166,5.27789448538658,2.7,3.03143362679607,11.15729332,93.6141,62.4207780743465,61.9626734104832,16.0033082888997,0.956287797076634,25.2055400552551,0.638166423005915
2022,YR2022,Azerbaijan,AZE,7770.594223351,10141756,74.125,100,13.9724815486993,107.506,4.71468037857544,14.1,-5.67773710614177,3.97840643,88,26.9954251873703,59.9868480668076,25.3103448275862,0.039507866238038,56.1467373576856,5.012251973723
2022,YR2022,"Bahamas, The",BHS,34957.1613279737,397538,74.491,100,50.9350649350649,101.624,10.8774550145968,11.6,3.82040434055862,7.21692038,94.7326,38.8240458234989,37.1589142824247,0.799200799200799,0.293483989063331,9.50434632433366,0.416556329514708
2022,YR2022,Bahrain,BHR,30470.5219276023,1524693,80.992,100,0.936708860759494,139.636,6.18016125475185,7,4.20018456310523,3.83745313,100,71.1798757519344,95.9613654006004,2.65822784810127,1.34221960637543,46.3896273702963,..
2022,YR2022,Bangladesh,BGD,2716.48592780431,169384897,74.265,99.4,14.458774758176,109.867,7.09982877575158,24.4,0.355308723397177,2.39038587,41.6165,20.897740835675,12.8822264348985,60.7838169814218,1.02423384746683,33.9200804971876,4.6737649876073
2022,YR2022,Barbados,BRB,22164.0260273876,282318,75.676,100,14.6511627906977,114.581,17.8328630251327,9.6,3.19626497260361,6.29389191,79.4451,..,..,16.2790697674419,0.0605883465692588,13.9791701009868,1.36122360854
2022,YR2022,Belarus,BLR,7994.64806074889,9228071,74.1033658536585,100,43.3351396620523,128.315,-4.65839591573585,2,2.17745011943276,6.65919876,89.5073,56.973020682251,63.0511868938428,27.617123996256,-0.804228426880244,33.0290955450834,2.01552933186967
2022,YR2022,Belgium,BEL,50822.2518538518,11680210,81.7487804878049,100,22.604446776415,101.68,4.2593607365269,3.1,2.00046456440554,10.76192474,94.0078,96.6998485924956,95.2395955015917,28.3186856430773,0.808165350001861,19.5139703801863,2.34654552980991
2022,YR2022,Belize,BLZ,7068.45478269722,402733,72.19,98.6,55.0078912757563,67.175,9.65297772389758,10.9,4.9498706439243,4.23173904,71.8096,55.2569642041662,53.2722099272842,4.38404208680403,1.85124805102003,15.430147187972,5.00287535464959
2022,YR2022,Benin,BEN,1266.42710981159,13759501,60.475,56.5,26.9169031571479,105.745,6.25294705373625,47.7,2.15770537565076,2.67981386,30.0134,23.5662628402967,20.8153300474458,31.4468987229514,2.54740926342667,17.017826707817,1.43702897415825
2022,YR2022,Bermuda,BMU,121613.939983629,64749,82.062,100,18.5185185185185,105.274,6.47622571186707,..,0.0748475167550859,..,..,24.898376139026,50.2988488872967,5.55555555555556,0.156108751379667,5.32590434727504,22.2812886343297
2022,YR2022,Bhutan,BTN,3711.32767981591,780914,72.754,100,71.5521761929733,95.1298,5.21386783786224,19.1,0.289904655137253,4.38545895,86.2903,60.0723765638263,25.4988399587876,2.58259045621395,0.703183917780367,31.8248447380802,3.31086657464961
2022,YR2022,Bolivia,BOL,3643.92826984604,12077154,67.434,99.9,46.5396883596418,101.572,3.60568042633635,20.7,0.0141722868393946,8.43142891,67.3612,35.1443439153378,32.6115548527874,5.13483577956245,1.16425907336882,26.2017588810386,3.31578734598445
2022,YR2022,Bosnia and Herzegovina,BIH,7655.59421024383,3204802,76.777,100,42.7326171875,118.944,4.22681101095546,5.5,3.7882728069108,8.71644783,78.8455,61.8988653103961,48.307102350834,7.36328125,-1.24363802761194,24.663249794412,10.5208784489857
2022,YR2022,Botswana,BWA,8328.70905682185,2439892,68.749,75.9,26.4995676953752,178.205,5.48601706446772,39.2,3.49204705183736,5.72838593,80.3696,42.0680959802285,43.5436117786863,0.458772254865633,1.58848021878269,37.457129713918,0.306272176465236
2022,YR2022,Brazil,BRA,9281.33334441234,210306415,74.872,100,59.1275092305226,101.245,3.01669435393015,12.6,3.8221961533297,9.14277458,80.5278,19.1853009729027,19.6307650034371,6.65722277923079,0.360180890872169,22.819456851691,0.25481314242508
2022,YR2022,British Virgin Islands,VGB,..,38319,77.177,100,24.1333333333333,92.8913,..,12,..,..,..,..,..,6.66666666666667,1.33986872052852,..,..
2022,YR2022,Brunei Darussalam,BRN,36632.9280421411,455370,72.917,100,72.1062618595825,116.108,-1.62833154022366,8.3,-1.73946797970418,1.81768215,98.9704,60.5846090836886,86.3893570088471,0.759013282732448,0.804554269312164,67.9255854818627,..
2022,YR2022,Bulgaria,BGR,13999.6719197289,6465097,74.1609756097561,100,36.0998526160649,116.679,4.03877758301681,5.1,5.59153979384169,7.66357517,79.1269,68.8630561149866,69.9770907029936,31.9454679439941,-0.650676134087796,25.3027914291274,2.31142154213049
2022,YR2022,Burkina Faso,BFA,836.118304593682,22509038,60.7,19.5,22.3552631578947,119.463,1.4972397409897,46.1,3.5586103002345,6.77182007,14.6238,33.0990310342397,31.744842886064,28.9012744883041,2.30907147387783,28.7354846571486,2.78377631718111
2022,YR2022,Burundi,BDI,250.634225368744,13321097,62.882,10.3,10.8894080996885,56.26,1.84899943948213,32.4,0.757355122631358,8.39522648,11.0009,23.3442218510957,4.9710985076333,50.3702686915888,2.70585008916716,10.6377881445908,4.8947554204382
2022,YR2022,Cabo Verde,CPV,4323.31362032709,519741,75.907,97.1,11.4937965260546,113.247,15.843675684642,11.5,5.43014452079405,6.67440224,72.7601,58.3098826343223,38.6842542170134,12.4069478908189,0.596688345869947,11.0789238411144,14.031084297698
2022,YR2022,Cambodia,KHM,2325.03050040841,17201724,70.528,92.3,43.9439723544074,113.392,5.12990110767267,21.1,8.94830125779534,4.71089554,59.6606,73.6665720833071,72.2070606780988,23.3409228416044,1.33088813106016,40.8649626222329,6.54093545373445
2022,YR2022,Cameroon,CMR,1604.87726954895,27632771,62.443,71,42.7925789596158,89.8274,3.7367840056412,42.5,2.08735032157122,4.47835922,41.775,21.9647892415588,19.321813317909,13.1158638488714,2.62905090961273,27.1303593377196,1.26876259890659
2022,YR2022,Canada,CAN,56256.8007264015,38935934,81.2453658536585,100,39.4659199995449,91.2387,4.18903628100851,4.5,2.29317324184365,11.23432541,94,33.374430889461,33.9431906669379,4.3631026204103,1.80390457488184,..,0.039437208123801
2022,YR2022,Cayman Islands,CYM,92202.1478031576,71591,79.984,100,52.6666666666667,139.315,5.15632954248333,..,-47.6414297996191,..,..,..,..,0.833333333333333,2.09324575309515,8.19059449963044,0.193163004500362
2022,YR2022,Central African Republic,CAF,467.359825026238,5098039,18.818,15.7,35.7041959613471,38.8218,0.453901881507008,189.1,1.00929791484186,9.95509052,..,32.9330700029707,12.3004999986493,2.88933834151979,-0.275432271573156,21.157300000739,..
2022,YR2022,Chad,TCD,966.036468278568,18455316,54.528,11.7,3.24924110546379,65.4378,12.8966164300082,60.3,3.44402627536712,4.52549791,12.4865,16.2530343175185,31.7353441144244,4.20902160101652,3.45668911084691,33.0636052300641,..
2022,YR2022,Channel Islands,CHI,67627.3084478235,167215,81,100,..,..,5.34196140375869,..,..,..,..,..,..,..,0.283869921965387,8.38306788106733,..
2022,YR2022,Chile,CHL,15405.6165774073,19553036,79.176,100,24.8461772576085,135.114,2.15399356192458,5.9,6.2318507042491,10.06172848,93.5377,39.5949894702167,35.6066282723137,1.74588686071584,0.495789591494285,31.0330474006021,0.0282751450622328
2022,YR2022,China,CHN,12970.6056414327,1412175000,78.202,100,23.8316995465589,124.195,3.1341888719577,4.8,1.03841365474349,5.36948681,75.6113,17.1429881849395,20.297731691419,11.5635568441694,-0.0130995013525784,37.8945266620066,0.142457651070649
